user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,happiness_index,tweets
3128883168,2017/11/17 5:00,[],0,0,EllA,232,198,"Sylmar, Los Angeles",1405,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,1,b'Happy birthday to one of the most gorgeous and artistic souls I know \xf0\x9f\x92\x97\xf0\x9f\x92\x97 hope you had a great day! @danirosalie16'
235337625,2017/11/17 5:00,[],0,1,PHILIP CRAWFORD,2197,2348,"Los Angeles, California",198420,None,None,0,b'Today was MICKEY MOUSE Birthday I say:FUCK YOU MICKEY MOUSE YOU DIDN\xe2\x80\x99T CELEBRATE MY BIRTHDAY YESTERDAY SO WHY THE F\xe2\x80\xa6 https://t.co/q1k3iDpxMN'
3227724246,2017/11/17 4:57,[],0,0,prilla,266,309,"Malibu, CA",3981,None,None,1,b'happy birthday to the best researcher out there and an even better friend. @josealczr \xe2\x9c\x8a\xf0\x9f\x8f\xbd https://t.co/xf3Xa0Hlln'
4909841992,2017/11/17 4:56,[],0,0,STEEZY,54,71,"Los Angeles, CA",190,None,None,1,b'Birthday weekend day #1 starts tomorrow'
38324996,2017/11/17 4:56,[],0,0,Jessi Jewel :),1958,503,"Los Angeles, CA",14664,None,None,2,b'Happy Birthday @Cdprincess5 https://t.co/QtVy0kwdRu'
2464048542,2017/11/17 4:54,[],0,0,Teres®¶ Haley,181,254,"Los Angeles, CA",7223,None,None,1,"b""It's cach\xc3\xa9's birthday. I got my midterms back today. I made history along the way. And Lani dropped another song! I\xe2\x80\xa6 https://t.co/cfdMJBIblS"""
354491079,2017/11/17 4:54,[],0,0,jordann alexandra,465,516,"Los Angeles, CA",16053,None,None,2,b'visiting scott at work and his coworkers made me stand up on a chair by myself and told everyone it\xe2\x80\x99s my birthday a\xe2\x80\xa6 https://t.co/hegdH1mVBl'
8.83E+17,2017/11/17 4:54,[],4,24,Chiqui,32,4990,"Los Angeles, CA",386,None,None,2,b'Best birthday gift ever???? \xf0\x9f\x98\x8d https://t.co/pqXX5YznuK'
206929763,2017/11/17 4:53,[],0,1,Aim®¶e Nash,419,3757,LA,1764,None,None,1,b'Happy birthday @rickbain \xf0\x9f\x8e\x82\xf0\x9f\x99\x8c https://t.co/0alh5haGTX'
21636967,2017/11/17 4:53,[],0,0,Gina Rodriguez,183,103921,"Encino, Los Angeles",31104,None,None,2,b'Just got the BEST birthday present....No Prep No Drill Veneers from draamirwahab and I LOVE\xe2\x80\xa6 https://t.co/rwi12DFekC'
2864207482,2017/11/17 4:53,[],0,0,almond brown,236,366,"Los Angeles, CA",9107,None,None,2,b'@HyphyLyyfe happy birthday pretty\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
1871431807,2017/11/17 4:51,[],1,1,Dorian Gerald,910,3611,"Los Angeles, CA",4584,None,None,2,"b'My boy better had got treated like a KING today, rose petals need to be thrown at his feet, Happy Birthday brudda @SuperStarRayy \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbe'"
3004360045,2017/11/17 4:51,[],0,1,Alijah Lee,468,791,"Venice, California",15864,None,None,1,b'@Scoot23_ happy birthday brodie!!'
1471407032,2017/11/17 4:51,[],0,0,WHIZ WARD,2880,1238,"Los Angeles, CA",39177,None,None,1,b'@IAMSU Happy Birthday Mayne!'
7.40E+17,2017/11/17 4:50,[],0,0,Kellin,54,252,"Calabasas, CA",16524,None,None,1,"b""@harleyslilbook That's shitty thinking of them.. wth it's your birthday you shouldn't need to do a thing. You do yo\xe2\x80\xa6 https://t.co/k24HJRHva3"""
128647342,2017/11/17 4:49,['KJLH'],1,0,RadioFree 102.3 KJLH,5640,15598,"Inglewood, CA",54719,None,None,2,b'Happy Birthday Beautiful Queen!! #KJLH https://t.co/9MKO2BNe73'
17451655,2017/11/17 4:49,[],1,2,DJ E-Rock,3501,24178,"Los Angeles, CA",79755,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,1,b'Happy Birthday to my big brother @E40!'
457214594,2017/11/17 4:49,[],0,0,Cindy Juarez,250,391,"Los Angeles,CA.",24169,None,None,1,b'Happy 18th Birthday to my oldest nephew!\xf0\x9f\x8e\x88I\xe2\x80\x99m only 4 years older than\xe2\x80\xa6 https://t.co/vxYfcaOAG4'
8.29E+17,2017/11/17 4:48,[],0,1,Jaxkie,1951,1710,"Los Angeles, CA",1908,None,None,0,b'@guellval When\xe2\x80\x99s your birthday?'
608558073,2017/11/17 4:47,[],0,0,Kristin,123,86,Los Angeles,1842,None,None,-1,"b'""fuck, my birthday\'s soon; I\'m pissed""\npoor nils'"
4482080364,2017/11/17 4:47,[],0,0,valerie,45,20,"Los Angeles, CA",64,None,None,0,b'happy birthday @wolfiecindy  &lt;333'
2540206831,2017/11/17 4:46,[],0,0,Genesis Kristina,435,608,"Los Angeles, CA",71,None,None,1,"b'@ToveLo released her album on birthday and she\xe2\x80\x99s fire, how amazing. \xf0\x9f\x8c\xb9'"
75911754,2017/11/17 4:45,[],0,1,INNOVATIVE BLACKMAN,776,1265,"Makkah Al Mukarrama, Kingdom o",96534,"Place(_api=<tweepy.api.API object at 0x0000000007DAA908>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA908>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,0,b'Finna roll mad backwoods and drink remy it\xe2\x80\x99s my nigga Fats birthday at 12. RIP to a young boss'
14826700,2017/11/17 4:44,[],0,0,b. williams,292,2461,"los angeles, ca",7418,None,None,2,"b""@mrLdavis wow, tell them I said thank you for putting the carnival up for my birthday week! I'll try to make an app\xe2\x80\xa6 https://t.co/uyWSXjrFSK"""
357988651,2017/11/17 4:44,[],0,1,Patty,126,109,Los angeles,1333,None,None,2,b'Happy birthday to my favorite ridah @aydriannuh_bee \xe2\x99\xa5\xef\xb8\x8f love you Cabrona. *only your real friends post the real you\xe2\x80\xa6 https://t.co/dgPerzIlzr'
269113505,2017/11/17 4:44,"['bummedthatCoreycouldntmakeit', 'fig']",0,0,mariti guintu-sunga,294,5291,"Los Angeles, CA",27480,None,None,2,"b'Happy birthday, Franco!!!! #bummedthatCoreycouldntmakeit #fig&amp;olive https://t.co/UOhCKLNZ4v'"
142549136,2017/11/17 4:43,"['Yelp', 'Yelfie']",0,0,Shawn Marie,21,15,"Firestone Park, CA",118,None,None,2,"b""I'm now the Duchess of The Crab Shack! #Yelp #Yelfie\nCelebrating Babe Birthday https://t.co/V1wnjV2kiL https://t.co/08TbhthOT7"""
979910624,2017/11/17 4:40,[],0,1,jazmin,268,187,"Los Angeles, CA",808,None,None,2,b'happy birthday queen!! \xf0\x9f\x92\x97\xf0\x9f\x92\x9e\xf0\x9f\x92\x98 https://t.co/CKz75QdrdR'
2413730592,2017/11/17 4:39,[],1,1,Kat,214,320,LA,5945,None,None,2,"b'@josuearias09 HAPPY FUCKING BIRTHDAY YOU LOSER! Hope you have a good one, love you \xf0\x9f\x98\x8b'"
