user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,happiness_index,tweets
315802459,11/15/17 07:27,[],0,0,Sarcasm,1881,2787,"Los Angeles",59329,None,None,1,"Me: For Christmas I want a dragonSanta: Be realisticMe: Ok I want my life togetherSanta: What color do you want your dragon"
7.21E+17,11/15/17 07:23,[],0,0,Mercalli Swave,735,359,"Los Angeles, CA",7663,None,None,0,1973 Franklin Mint Christmas Tree Proof Silver Coin Medallion (6352) https://t.co/aUA9jZXB9j
497668777,11/15/17 07:14,[],0,0,mah-tay-uh,175,389,Los Angeles ,9862,None,None,2,Im finally gonna have a cold snowy christmas and I‰Ûªm too excited _Ù_Ñ
229576116,11/15/17 07:13,[],0,0,Grant W. Graves,2203,1746,"Santa Monica, CA",63265,None,None,0,The Coast Guard's Gift Ideas For 12 Nautical Days Of Christmas ‰ÛÒ gCaptain https://t.co/IfdAIQDJY3
6546872,11/15/17 07:10,[],0,0,Cassie Wallender,2307,3614,"Seattle, WA",6602,"Place(_api=<tweepy.api.API object at 0x107f34bd0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x107f34bd0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], full_name=u'Los Angeles, CA', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,1,"Back in LA! It's 62å¡ and the radio in our Lyft is already rocking Christmas music. What?_Ù_Â_Ùè_•üè_ÙÎ«_ÙÎ__ÙÓ´_Ù___Ù_É_Ù_ã_Ù÷¥_Ùªä"
479255182,11/15/17 07:09,[],0,0,Tom MARATHON*less,151,2336,"Orlando, FL",19044,"Place(_api=<tweepy.api.API object at 0x107f34bd0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x107f34bd0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], full_name=u'Los Angeles, CA', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,0,"‰ÛÏit‰Ûªs a small world‰Ûù Holiday, Season of Light, Christmas Fantasy, and Haunted Mansion Holiday, and Viva Navidad are‰Û_ https://t.co/ch2EdfwLXN"
8.95E+17,11/15/17 07:09,"[u'christmas', u'christmascard', u'christmascards']",0,0,laura scott,414,243,"Los Angeles, CA",697,None,None,1,meet me by the mistletoad https://t.co/LgimeVrbEu https://t.co/LgimeVrbEu #christmas #christmascard #christmascards‰Û_ https://t.co/qGFBhuzeUe
380688481,11/15/17 07:09,[],0,0,Daily Inspiration,2036,2358,"LA, CA",107366,None,None,-1,Australian PM wants marriage equality by Christmas after 'overwhelming' vote https://t.co/0DpkTZirBb
479255182,11/15/17 07:08,[],0,1,Tom MARATHON*less,151,2336,"Orlando, FL",19044,"Place(_api=<tweepy.api.API object at 0x107f34bd0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x107f34bd0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], full_name=u'Los Angeles, CA', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,1,"I enjoy the Christmas Party, but I just saw a better parade and nighttime show with regular park admission."
454214712,11/15/17 07:08,"[u'Holiday', u'Wine', u'Food', u'Life', u'ThankFul', u'Christmas', u'NewYears']",0,1,JUSTICE LANE,590,9540,"Los Angeles, CA",41813,"Place(_api=<tweepy.api.API object at 0x107f34bd0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x107f34bd0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], full_name=u'Los Angeles, CA', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,0,"Happy Holidays From, Maad House https://t.co/h6UhXiKfaa #Holiday #Wine #Food #Life #ThankFul #Christmas #NewYears‰Û_ https://t.co/Nw1BtM5xUu"
