user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,happiness_index,tweets,,,,,,,,,,,,,,,
22545453,2017/11/16 4:48,[u'resilience'],1,0,RAND Corporation,1206,144589,"Santa Monica, California",35247,None,None,0,"Adopting a systems approach will help communities build #resilience, says RAND's @MelissaFinucane. https://t.co/oGBm6pboCt",,,,,,,,,,,,,,,
3864687866,2017/11/16 4:08,[],0,0,Camila,909,539,"Los Angeles, CA",35393,None,None,-2,"@realDonaldTrump Since you didn't do anything for PR, they are coming to Florida! https://t.co/BYQJ3Qr3JD Florida w‚Ä?https://t.co/SNn9HpQiVS",,,,,,,,,,,,,,,
43360071,2017/11/16 4:04,[],0,0,Meet Your Mood LA,40,17,"Los Angeles, CA",136,None,None,0,Hamilton last night w special appearance with Lin-Manuel Miranda supporting HIV and hurricane relief for Puerto Ric‚Ä?https://t.co/SK6UiriePQ,,,,,,,,,,,,,,,
541954282,2017/11/16 3:56,[],0,0,Gabo.,222,404,"Los Angeles, CA",6210,None,None,-2,Make this go viral. This is unbelievable. Lloro pu√±eta! üáµüá∑ https://t.co/TDtycNldOP,,,,,,,,,,,,,,,
266434436,2017/11/16 3:49,[],0,0,Bruce C. Smythe,76,27,"Los Angeles, CA",18,None,None,-2,@tonyiommi Tony would you do it one more time before you go for the hurricane victims Dec 16th Hard Rock Stadium Em‚Ä?https://t.co/oGXSb3GqCB,,,,,,,,,,,,,,,
8.45E+17,2017/11/16 3:12,[],0,0,CovfefeBaldwin,119,23,"West Hollywood, CA",816,None,None,-2,@JoeNBC please for the love of humanity stop making music!! Your music caused hurricane Harvey and Harvey Weinstein‚Ä?https://t.co/MzR6DE4eU1,,,,,,,,,,,,,,,
71393968,2017/11/16 2:58,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,0,Hurricane Harvey survivor Moo - Longest resident: https://t.co/je9qJVdXtL via @YouTube,,,,,,,,,,,,,,,
12804312,2017/11/16 1:30,[],0,2,89.3 KPCC,2203,115136,"Los Angeles, California",95423,None,None,0,"A new NASA visualization shows the hurricanes from 2017 season from a new perspective ‚Ä?that is, their impact on pa‚Ä?https://t.co/oEDAEwc2yT",,,,,,,,,,,,,,,
112283650,2017/11/16 1:20,[],0,0,#BehindBars,5135,5697,"Los Angeles, CA",11046,None,None,0,"Tomorrow morning @10am-2pm
Catch me at Moorpark College.
I'm performing at the 
Hurricane Survivors Fundraiser... https://t.co/TGcJGpDPWE",,,,,,,,,,,,,,,
17134772,2017/11/16 1:10,[],0,0,multifacets,868,310,"San Fernando Valley, CA",67065,None,None,-2,URGENT! We desperately need people and 501(c)3 cat rescues to take Hurricane Harvey Kittens by 8pm today so they... https://t.co/nbk6F4JH0Z,,,,,,,,,,,,,,,
17134772,2017/11/16 1:10,[],0,0,multifacets,868,310,"San Fernando Valley, CA",67065,None,None,-2,URGENT! We desperately need people and 501(c)3 cat rescues to take Hurricane Harvey Kittens by 8pm today so they... https://t.co/gYH3Fm1iVm,,,,,,,,,,,,,,,
307022914,2017/11/16 0:59,[],0,0,kelebo,255,1010,"Hawthorne, CA ",40206,None,None,-2,@xiaoku just to get torn apart by every hurricane at once lmao fuck that,,,,,,,,,,,,,,,
546277891,2017/11/16 0:22,[],0,0,Karla Silva,3377,494,"Santa Monica, CA",62572,None,None,-2,"Hurricane Damage To Manufacturers In Puerto Rico Affects Mainland Hospitals, Too https://t.co/wf46esQWEt",,,,,,,,,,,,,,,
22179835,2017/11/16 0:06,"[u'Clearwater', u'Irma']",0,1,Scientology,73,93906,Los Angeles,118617,None,None,0,".@ScientologyVM's &amp; the Los Topos crew in #Clearwater neighborhoods, clearing away trees that collapsed after #Irma‚Ä?https://t.co/7sQCaJGrAF",,,,,,,,,,,,,,,
801633056,2017/11/15 23:48,[],0,0,Gail Kristin Upp,99,365,"Los Angeles, California",23530,None,None,-1,@russellcrowe I remember the beauty. I also remember standing on the corner of 58th and 8th with an apparent hurric‚Ä?https://t.co/xISkfhirCq,,,,,,,,,,,,,,,
2967808004,2017/11/15 23:21,[],0,0,Brody,35,46,los angeles,39990,None,None,0,"New story on NPR: WATCH: The Hurricane Season, As Shown By Salt, Smoke And Dust https://t.co/IfJne4NMZJ",,,,,,,,,,,,,,,
12707222,2017/11/15 23:20,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",114986,None,None,0,"NPR: WATCH: The Hurricane Season, As Shown By Salt, Smoke And Dust https://t.co/50vEvxnujq",,,,,,,,,,,,,,,
8.51E+17,2017/11/15 23:12,[],0,0,CA Process Service,4995,675,"Los Angeles, CA",65918,None,None,0,"After Hurricane Maria, mainland schools get influx of Puerto Rican students https://t.co/WAFic7Joym https://t.co/WLXhqdjiBA",,,,,,,,,,,,,,,
2214689930,2017/11/15 22:20,[],0,0,The Patriot,185,604,Los Angeles,13281,None,None,-1,Puerto Rico Hurricane Affecting US Hospitals in a Big Way https://t.co/IZtYIrOIiN,,,,,,,,,,,,,,,
609484227,2017/11/15 22:19,"[u'FightOn', u'USC']",0,0,Fight On Trojans!,1148,1986,"Los Angeles, CA",31386,None,None,0,"#FightOn #USC https://t.co/pIEt2Zovej After Hurricane Maria, mainland schools get influx of Puerto Rican students",,,,,,,,,,,,,,,
8.15E+17,2017/11/15 22:01,[],0,0,Candice Kim,624,387,"Los Angeles, CA",1814,None,None,0,New @chemsafetyboard video unpacking what happened at the Arkema plant during Hurricane Harvey. https://t.co/htLGHaJ4zE,,,,,,,,,,,,,,,
2652287388,2017/11/15 21:40,[],0,0,Belle Isle,577,436,"Los Angeles, CA",12390,None,None,0,"@Nicole_D_Rams Ah, Hurricane Hattie. Stories about my great uncle having to carry my mom &amp; aunt on his shoulders (b‚Ä?https://t.co/tFr7JiXYer",,,,,,,,,,,,,,,
4627342095,2017/11/15 21:30,[],0,0,Zesty Car News,1586,4310,"Los Angeles, CA",41282,None,None,0,The Jalopnik Car Show For Hurricane Relief Is Back Sunday Nov. 26 And You Should Be There https://t.co/LDMG4VPqC0 https://t.co/J8SqZYd3Gg,,,,,,,,,,,,,,,
112283650,2017/11/15 21:12,[],0,0,#BehindBars,5135,5697,"Los Angeles, CA",11046,None,None,2,"Showtime! 
Tomorrow 10am-2pm 
Catch me performing at Moorpark College 
Hurricane survivor FundRaiser concert.... https://t.co/1XEzUlwqT9",,,,,,,,,,,,,,,
112283650,2017/11/15 21:12,[],2,2,#BehindBars,5135,5697,"Los Angeles, CA",11046,None,None,2,"Showtime! 
Tomorrow 10am-2pm 
Catch me performing at Moorpark College 
Hurricane survivor FundRaiser concert. Along‚Ä?https://t.co/sX8Gkl8rgV",,,,,,,,,,,,,,,
336818917,2017/11/15 20:37,[],0,0,Casey Coates Danson,366,419,Los Angeles,54068,None,None,-2,"Exploiting tragedy, heartless Republicans seek to privatize Puerto Rico after Hurricane Maria https://t.co/li87Eso85X",,,,,,,,,,,,,,,
336818917,2017/11/15 20:37,[],0,0,Casey Coates Danson,366,419,Los Angeles,54068,None,None,-2,"Exploiting tragedy, heartless Republicans seek to privatize Puerto Rico after Hurricane Maria https://t.co/xdSaxOgNmv",,,,,,,,,,,,,,,
71393968,2017/11/15 20:16,[],2,2,The Rescue Train,414,1731,Toluca Lake,3319,None,None,0,We desperately need people &amp; 501(c)3 cat rescues to take Hurricane Harvey Kittens by 8pm today. We are airlifting a‚Ä?https://t.co/k0vinbIzpO,,,,,,,,,,,,,,,
8.58E+17,2017/11/15 20:12,"[u'HurricaneHarvey', u'MattressMack']",4,6,Breaking News,6175,53143,"Los Angeles, CA",50856,"Place(_api=<tweepy.api.API object at 0x10cdbb3d0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10cdbb3d0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], full_name=u'Los Angeles, CA', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,2,#HurricaneHarvey hero '#MattressMack' hosting Thanksgiving feast for ‚Äòeverybody' https://t.co/EWqAETOxo6 @newnewspage,,,,,,,,,,,,,,,
12707222,2017/11/15 19:51,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",114986,None,None,2,FoxNews: Hurricane Harvey hero 'Mattress Mack' hosting Thanksgiving feast for ‚Äòeverybody' https://t.co/qLZpVrC9iU,,,,,,,,,,,,,,,
22545453,2017/11/15 19:50,[],3,4,RAND Corporation,1206,144589,"Santa Monica, California",35247,None,None,0,Here's how communities affected by recent hurricanes can invest in resilience as they rebuild: https://t.co/ZEtgVU9nG9 via @MelissaFinucane,,,,,,,,,,,,,,,
71393968,2017/11/15 19:18,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor kittens: https://t.co/shD7mqbBh7 via @YouTube,,,,,,,,,,,,,,,
71393968,2017/11/15 19:17,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor Tina (Heart worm +): https://t.co/LOPMtXDYib via @YouTube,,,,,,,,,,,,,,,
71393968,2017/11/15 19:16,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor Nyla (video 2): https://t.co/95vJLASqYo via @YouTube,,,,,,,,,,,,,,,
71393968,2017/11/15 19:13,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor Philip (2nd Video): https://t.co/72OERPh9zm via @YouTube,,,,,,,,,,,,,,,
31176183,2017/11/15 19:13,"[u'fema', u'PuertoRico', u'America', u'Americans']",0,1,Wayne Ford,1989,450,"Los Angeles, CA",1563,None,None,-2,Shameful. #fema #PuertoRico #America #Americans https://t.co/6CglWM9hZt,,,,,,,,,,,,,,,
71393968,2017/11/15 19:05,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor Cookie (heart worm +): https://t.co/u49licFsvI via @YouTube,,,,,,,,,,,,,,,
71393968,2017/11/15 19:01,[],0,0,The Rescue Train,414,1731,Toluca Lake,3319,None,None,1,Hurricane Harvey survivor Maggie: https://t.co/Bmdk9aSi9H via @YouTube,,,,,,,,,,,,,,,
20623704,2017/11/15 18:32,[],0,0,Scott A. Hill,466,204,"Los Angeles, CA",1295,None,None,0,UCC groups coming together in Philly to help hurricane evacuees from Puerto Rico https://t.co/Mx3vWxfxk9 via @unitedchurch,,,,,,,,,,,,,,,
