user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets,happiness_index
12707222,11/17/2017 6:31,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",115370,None,None,"b""FoxNews: Rep. SteveScalise reacted to an expletive-laced message from comedian Rosie O'Donnell after the House pass... https://t.co/9hIawREal5""",0
123785291,11/17/2017 6:28,[],2,2,Rubin Khoddam,37,166,"Los Angeles, CA",417,None,None,b'@jonfavs check out the @gradtaxwalkout to see the movement building around this terrible tax reform. Grad students... https://t.co/MPRfEzax8a',-2
19789347,11/17/2017 6:27,[],0,0,Mitch Chase,2379,845,"Los Angeles, CA",13063,None,None,b'Real estate industry comes out against GOP tax bill: It will hurt homeowners https://t.co/gHZ6KWjGeY',-1
7.32E+17,11/17/2017 6:05,[],0,0,Mojo Elliott,282,64,"Los Angeles, CA",26,None,None,b'@CBSNews Employees making over $150K per year are the ones getting burned by tax reform. Their taxes are going way... https://t.co/2y4edWEwZL',-1
192106769,11/17/2017 6:01,[],0,0,Lars Keller,23,50,"Los Angeles, CA",8617,None,None,b'Congress passes tax reform that critics warn could politicize houses of worship https://t.co/qGfo1LQJYj',0
8.58E+17,11/17/2017 5:57,['TaxReform'],5,6,Breaking News,6174,52906,"Los Angeles, CA",51164,"Place(_api=<tweepy.api.API object at 0x0000000007DAA940>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA940>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,"b""'Bless Your Heart': @SteveScalise Responds to @Rosie Attack Over #TaxReform https://t.co/MHeBRSTOqI @newnewspage""",0
8.58E+17,11/17/2017 5:54,['RosieODonnell'],5,5,Breaking News,6174,52906,"Los Angeles, CA",51164,"Place(_api=<tweepy.api.API object at 0x0000000007DAA940>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000000007DAA940>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'Rep. @SteveScalise reacted to an expletive-laced message from comedian #RosieODonnell after the House passed its ta... https://t.co/CqEJOs1Jop',0
35075859,11/17/2017 5:50,[],2,4,Lori Hultin,1448,2070,"Westlake Village, CA",37573,None,None,"b'The @GOP- gutless cowards sneaking around in the middle of the night, shoving things into their tax \xe2\x80\x9creform\xe2\x80\x9d bill.... https://t.co/xT0XpsnyHv'",-1
225684809,11/17/2017 5:46,[],0,0,Lorraine Devon Wilke,3512,9719,"Playa del Rey, CA",38740,None,None,b'The pussy-grabbing Russia-loving nuclear-war-fomenting inarticulate has SO little self-awareness he probably doesn'... https://t.co/pIv8igwO1j',-2
2967808004,11/17/2017 5:12,[],0,0,Brody,35,49,los angeles,40281,None,None,"b'""Under the G.O.P. Tax Plan, Who Would Win and Lose?"" by PATRICIA COHEN via NYT https://t.co/9SxBXRHoFi'",0
3097193449,11/17/2017 4:57,[],0,0,Michelle Lev,67,29,"Reseda, Los Angeles",6074,None,None,b'Tax reform is a house of lies: https://t.co/7hfKxBEAMP via @slate',-1
3097193449,11/17/2017 4:56,[],0,0,Michelle Lev,67,29,"Reseda, Los Angeles",6074,None,None,"b""Schumer: Steve Mnuchin 'lying' about tax reform to 'suck up to Trump' https://t.co/jbj7qnH8xV""",0
12707222,11/17/2017 4:56,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",115370,None,None,"b'FoxNews: .KellyannePolls on tax reform: ""I think it's very regrettable that we can't find a single Democrat to supp... https://t.co/B8hehimDZJ'",0
413280752,11/17/2017 4:53,[],0,0,Jeremy Kehoe,187,199,Los Angeles,10279,None,None,"b'House Republicans pass tax plan that would cut corporate rates, add to deficit https://t.co/lNpkW7maVc'",0
12707222,11/17/2017 4:51,[],0,0,Annelize Bester,1686,1319,"Los Angeles, CA, U.S.A.",115370,None,None,"b'FoxNews: .KellyannePolls on tax reform: ""We will have more Americans paying 0% on their taxes than we currently do."" https://t.co/em8a0SI0sB'",0
