user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets,happiness_index
23149578,2017/11/16 5:15,[],0,0,Richard Haberkern,1938,54470,"Los Angeles, CA",203350,None,None,Donald Trump's Border Wall Plans Are Ruined Thanks To Cards Against Humanity! See How The Company Is Saving America! https://t.co/Wp9WhwSHwl,1
2766925880,2017/11/16 5:14,[],0,0,GetPaulHoward,805,405,"Los Angeles, CA",5177,None,None,Anderson's face says it all.... WTF is happening with Trump? - He really is a freak show. An utterly... https://t.co/k8LcgRqmvI,-2
3424547813,2017/11/16 5:13,[],0,1,Jen Scantland,1577,617,"Los Angeles, CA",4010,None,None,@CNN To benefit the Trump kids since they're monsters who hunt innocent animals!? This country is starting to becom...https://t.co/9GUIkjTe0N,-2
18576277,2017/11/16 5:12,[],0,0,Fernando Chien,441,2732,"West Hollywood, CA",22251,None,None,Ivanka Trump slams Roy Moore: 'There's a special place in hell for people who prey on children' - CNN https://t.co/gPovdOMscz,-1
17637450,2017/11/16 5:12,[],0,0,Joan Kelly,268,224,"Los Angeles, CA",647,None,None,I can't remember a single day in this past year that didn't have yet another news item about something terrible Tru...https://t.co/Y8PPMbvpuc,-1
291421323,2017/11/16 5:11,[],0,0,arman walker,25191,22924,"Los Angeles, California",224194,None,None,WikiLeaks Set Off Attack on Our Trump-Russia Project—Right After Messaging Donald Trump Jr. About It ...Mother Jones https://t.co/SGMwdNcN8p,0
239070526,2017/11/16 5:10,[],0,0,Nasty & Proud,596,261,"Los Angeles, CA",2342,None,None,@CNN Awesome! The vile Trump Administration are Tards Against Humanity.,-2
8.15E+17,2017/11/16 5:10,[],0,0,Carl Hasting,765,598,"Los Angeles, CA",7801,None,None,"Look, every real estate pro in America owns their real estate in LLC ""flow through companies."" Tax rate on profits...https://t.co/gd9UJGFdo0",0
22234423,2017/11/16 5:09,[],0,0,Evan Nix,882,1072,"Los Angeles, CA",3505,None,None,"Can't wait for Trump to drop dead of a heart attack on January 2nd, 2018 (hopefully)",-1
17920055,2017/11/16 5:09,[],0,0,HWDRepublican,5478,6222,"Hollywood, CA USA",595410,None,None,THR: Trump to rally House Republicans in favor of tax reform https://t.co/gUQMPZ03kr (WE),0
