user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
45635421,2017-11-16 20:56:03,[],0,0,Bug Bam,469,413,"Hermosa Beach, CA",688,None,None,Happy Thanksgiving from Bug Bam®! https://t.co/XnSgMMZN36
45635421,2017-11-16 20:55:50,[],0,0,Bug Bam,469,413,"Hermosa Beach, CA",688,None,None,Happy Thanksgiving from Bug Bam®! - https://t.co/TfkPnxQZjZ
101660982,2017-11-16 20:55:09,[u'BH1'],0,0,Christopher Hertz,67,35,Santa Monica Bay,82,None,None,#BH1 Thanksgiving at BHUSD. Thank you BH parents and PTSA for making staff feel special. https://t.co/UQjeiWm1M1
164838833,2017-11-16 20:55:07,[],0,0,matty,81,919,LA,32908,None,None,hurry someone whose family makes soul food for thanksgiving cuff me now.
913596250729046016,2017-11-16 20:55:07,[u'LosAngeles'],0,0,LA Unvrz,69,21,"Los Angeles, CA",354,None,None,19 Best Things to Do in LA This Week https://t.co/yL9wCAOTX0 #LosAngeles https://t.co/ysqFiYpMqZ
28382529,2017-11-16 20:53:36,"[u'Thanksgiving', u'Yum']",0,0,justinscake,291,299,LA,21785,None,None,@krispykreme WhooHoo! Yea!!!! I know what I'm having #Thanksgiving morning! #Yum
488130349,2017-11-16 20:53:18,[],0,0,ChristmasGifts.com,87,626,"Los Angeles, CA",2176,None,None,"Read this NOW before you go shopping for Thanksgiving dinner! Everything you need to know, from how to cook a perfe… https://t.co/oZgdA95mF9"
846959897925292032,2017-11-16 20:51:35,[],0,0,Morning Recovery,433,535,"Los Angeles, CA",262,None,None,It’s officially a week away from Thanksgiving! We’re excited to eat all the food with family/friends 🍗🥂🍽...but... https://t.co/lu4CA63ZYJ
95808409,2017-11-16 20:50:58,"[u'thanksgiving', u'active', u'walker']",0,0,Trionic Walkers USA,387,131,Los Angeles,385,None,None,It is still not to late to get a Trionic for your loved one for #thanksgiving. @Trionic_Veloped #active #walker… https://t.co/a7GUHKTfAM
846959897925292032,2017-11-16 20:50:27,[],0,0,Morning Recovery,433,535,"Los Angeles, CA",262,None,None,It’s officially a week away from Thanksgiving! We’re excited to eat all the food with… https://t.co/BSHG4lwknq
917179520829894656,2017-11-16 20:49:17,"[u'thursdaythoughts', u'blackfridaydeals']",0,0,Hoodie Fest,15,8,"Los Angeles, CA",78,None,None,"For more details and order visit here &gt;&gt; https://t.co/lnR8xIhePj
#thursdaythoughts #blackfridaydeals… https://t.co/ki2jmVjCu3"
724852216239149056,2017-11-16 20:48:45,[u'DEADPOOL2'],0,0,Booze and Phasers,148,1117,Los Angeles,2390,None,None,WATCH THIS!!! #DEADPOOL2 Drops Thanksgiving Teaser Treat https://t.co/t0sPQX95et
58561815,2017-11-16 20:47:32,[],0,1,#1 constance wu stan,333,1402,"Los Angeles, CA",99939,None,None,"I work Black Friday so I don’t get a thanksgiving, therefore it’s time for Christmas bops! https://t.co/0xWMQk1Yuu"
917179520829894656,2017-11-16 20:46:19,"[u'BlackFriday2017', u'thursdaythoughts']",0,0,Hoodie Fest,15,8,"Los Angeles, CA",78,None,None,"For more details and order visit here &gt;&gt; https://t.co/K8R6I6SOjd
#BlackFriday2017 #thursdaythoughts… https://t.co/IE8Rq95tzf"
26854187,2017-11-16 20:45:34,[u'Thanksgiving'],0,0,Beverly Wilshire,2392,26169,"Beverly Hills, California",17971,None,None,#Thanksgiving is only seven days away... but who’s counting? 😉🍁🍂✨ We invite you to join us at @theblvdbw for a spec… https://t.co/qi8URGvlHG
21464876,2017-11-16 20:45:25,[],0,0,TopDrawerSoccer,1657,42532,"Los Angeles, CA",66897,None,None,Boys 2017 ODP Interregionals Rosters for Thanksgiving and Florida are LIVE: https://t.co/AvYXD67aMN https://t.co/bnOkzlwzjo
