user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
70850380,2017-11-15 19:19:43,[],0,0,matt mckenna,1962,2031,"Los Feliz, California",6823,None,None,The is no German/French/Japanese word for the obscure emotion of pity felt for how inadequate &amp; feeble the mass sho… https://t.co/z9VKFapOAy
28122118,2017-11-15 19:15:36,[],0,0,Dan Dan do-dan Banana-fana fo-fan Fe-fi-mo-man DAN,255,108,LA,1536,None,None,@realDonaldTrump deletes his tweet about the wrong mass shooting after @nytimes  calls him out for it and then dele… https://t.co/7KbHmpzTJV
521385156,2017-11-15 19:13:06,[],0,0,G.I.,14690,16861,City of Angels (LA),5721,None,None,"@lanceM1977 @RealKatieWebb @LBJ20XX The incompetence is staggering:

https://t.co/VcrEFGUOSf"
28122118,2017-11-15 19:11:27,[],0,0,Dan Dan do-dan Banana-fana fo-fan Fe-fi-mo-man DAN,255,108,LA,1536,None,None,@realDonaldTrump @nytimes sounds like you're made that they published the story about you tweeting about the mass s… https://t.co/kNuSl2XgaW
20012063,2017-11-15 19:08:13,[],64,126,elan gale,1159,204128,los angeles ,45001,None,None,"To be clear, Trump tweeted condolences to the wrong mass shooting, then deleted the tweet, and then never bothered… https://t.co/3JIBjzi2XA"
21328006,2017-11-15 19:05:27,[],2,3,David Lazarus,1103,12083,"Los Angeles, CA",62400,None,None,Trump tweets condolences to wrong town after mass shooting https://t.co/2f7pGHyPO6
60699409,2017-11-15 19:03:29,[],0,0,Mark Masek,2615,2321,Chicago / Los Angeles,24179,None,None,"Will this be blamed on a ""low-level intern""?  George Papadopoulos?  A left-wing media conspiracy?  A witch hunt?

O… https://t.co/KAMfrRmox2"
845714086641856512,2017-11-15 19:00:40,[u'Trump'],0,0,Curt and Frank,182,22,"Los Angeles, CA",3290,None,None,Confused president tweets condolences to Texas after mass shooting in California https://t.co/IChxflKgbs #Trump… https://t.co/HcZZVJasj3
21140012,2017-11-15 18:59:50,[],0,0,TheLooch,1244,1345,"Los Angeles, CA",41920,None,None,It's pretty sad that I know the race of the CA gunman simply by the lack of alt-right tweets regarding this mass sh… https://t.co/7xQ9lHGhs1
815366795850825729,2017-11-15 18:50:39,[],0,1,blue check lib,15,972,"Los Angeles, CA",406,None,None,If only he could keep his mass shooting template straight. https://t.co/j54sTxR45J https://t.co/i63qz701tZ
1440348968,2017-11-15 18:50:10,[],0,0,du-rag militia,831,249,"Los Angeles, CA",52609,None,None,"@ABC7 we need to have extreme vetting of all white males. they are responsible for every mass shooting, care to add… https://t.co/qjes6m4V1T"
2821010308,2017-11-15 18:39:01,[],0,0,J. Walker,158,38,"Los Angeles, CA",6474,None,None,Trump tweets condolences to wrong town after mass shooting https://t.co/4k8zzGDDC7 https://t.co/vIqd64f3Nm
1278778045,2017-11-15 18:23:31,[],1,0,babyface,159,277,burbank,14017,"Place(_api=<tweepy.api.API object at 0x10f234fd0>, country_code=u'US', url=u'https://api.twitter.com/1.1/geo/id/b0b79caecef59fb5.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x10f234fd0>, type=u'Polygon', coordinates=[[[-118.37032, 34.1426298], [-118.2799703, 34.1426298], [-118.2799703, 34.2216898], [-118.37032, 34.2216898]]]), contained_within=[], full_name=u'Burbank, CA', attributes={}, id=u'b0b79caecef59fb5', name=u'Burbank')",None,"tr*mp is so dangerous and so embarrassing.

https://t.co/g0HHwJPfig"
34882988,2017-11-15 18:21:26,[],0,2,Ian Gary,566,871,"Hollywood, Los Angeles",6148,None,None,.@realDonaldTrump cutting and pasting condolences for a mass shooting is the most Republican thing ever. https://t.co/OGSGd9WbCF
533051600,2017-11-15 18:06:34,[],0,0,The Fabulous Chicana,4364,1081,"Santa Monica, CA",8392,None,None,Twitter Slams Donald Trump For Tweeting Condolences About The Wrong Mass Shooting | HuffPost https://t.co/kXfIhjt1LQ
2173043520,2017-11-15 18:03:45,[],0,0,:D Los Angeles,978,516,Los Angeles,31759,None,None,"Trump Offers Condolences, for the Wrong Mass Shooting https://t.co/LupdZOKRK2"
34760936,2017-11-15 17:57:59,[u'MoronPresident'],0,0,thechazman,1091,384,"Los Angeles, CA",8781,None,None,@realDonaldTrump You're such a stupid ass wipe! Twitting about the WRONG mass shooting!!! smh #MoronPresident
