user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
23149578,2017-11-16 05:15:05,[],0,0,Richard Haberkern,1938,54470,"Los Angeles, CA",203350,None,None,Donald Trump’s Border Wall Plans Are Ruined Thanks To Cards Against Humanity! See How The Company Is Saving America! https://t.co/Wp9WhwSHwl
2766925880,2017-11-16 05:14:41,[],0,0,GetPaulHoward,805,405,"Los Angeles, CA",5177,None,None,Anderson's face says it all.... WTF is happening with Trump? - He really is a freak show. An utterly... https://t.co/k8LcgRqmvI
3424547813,2017-11-16 05:13:31,[],0,1,Jen Scantland,1577,617,"Los Angeles, CA",4010,None,None,@CNN To benefit the Trump kids since they’re monsters who hunt innocent animals!? This country is starting to becom… https://t.co/9GUIkjTe0N
18576277,2017-11-16 05:12:42,[],0,0,Fernando Chien,441,2732,"West Hollywood, CA",22251,None,None,Ivanka Trump slams Roy Moore: 'There's a special place in hell for people who prey on children' - CNN https://t.co/gPovdOMscz
17637450,2017-11-16 05:12:18,[],0,0,Joan Kelly,268,224,"Los Angeles, CA",647,None,None,I can't remember a single day in this past year that didn't have yet another news item about something terrible Tru… https://t.co/Y8PPMbvpuc
291421323,2017-11-16 05:11:17,[],0,0,arman walker,25191,22924,"Los Angeles, California",224194,None,None,WikiLeaks Set Off Attack on Our Trump-Russia Project—Right After Messaging Donald Trump Jr. About It – Mother Jones https://t.co/SGMwdNcN8p
239070526,2017-11-16 05:10:56,[],0,0,Nasty & Proud,596,261,"Los Angeles, CA",2342,None,None,@CNN Awesome! The vile Trump Administration are Tards Against Humanity.
815364772317184000,2017-11-16 05:10:22,[],0,0,Carl Hasting,765,598,"Los Angeles, CA",7801,None,None,"Look, every real estate pro in America owns their real estate in LLC ""flow through companies."" Tax rate on profits… https://t.co/gd9UJGFdo0"
22234423,2017-11-16 05:09:53,[],0,0,Evan Nix,882,1072,"Los Angeles, CA",3505,None,None,"Can’t wait for Trump to drop dead of a heart attack on January 2nd, 2018 (hopefully)"
17920055,2017-11-16 05:09:23,[],0,0,HWDRepublican,5478,6222,"Hollywood, CA USA",595410,None,None,THR: Trump to rally House Republicans in favor of tax reform https://t.co/gUQMPZ03kr (WE)
247938138,2017-11-16 05:09:11,[],0,0,Deborah Schuch,238,80,"Calabasas, CA",23287,None,None,Analysis | ‘Why aren’t the other hands up?’ A top Trump adviser’s startling response to CEOs not doing what he’d... https://t.co/5JvYE1OUgj
875844474,2017-11-16 05:08:47,[],0,0,devorasai,538,190,"Los Angeles, CA",2914,None,None,Lordy. There are tapes. https://t.co/PyG4gwGtcF
1387535558,2017-11-16 05:07:51,[],0,0,Jennifer edwards,452,850,los angeles,8106,None,None,Yup https://t.co/w7Izr1mozd
323037928,2017-11-16 05:07:25,[],0,1,RENNBRANDT,17,5,"Manhattan Beach, CA",1109,None,None,"@Snowballer2020 @CNN @realDonaldTrump 14,000,000 jobs, 5%unemployment, GM alive &amp; OSAMA BIN LADEN DEAD...SAVED AUTO… https://t.co/ZzF44Uk9gj"
195610523,2017-11-16 05:07:17,[],0,0,BRIAN FUNNAGAN,4960,2645,LOS ANGELES,179912,None,None,"“You Can’t Go Any Lower”: Inside the West Wing, Trump Is Apoplectic as Allies Fear Impeachment https://t.co/uLbWHldUmW"
851467828683091968,2017-11-16 05:07:15,[],0,0,CA Process Service,4995,675,"Los Angeles, CA",65931,None,None,Silence from Trump as Moore-Alabama storm grows louder https://t.co/7pVqVPYdNp https://t.co/thljC8dZwW
20602461,2017-11-16 05:07:09,[],0,0,Pray for our country,2955,3441,"Redondo Beach, CA",7841,None,None,Bernie Claims Trump Is Turning America Into A Dictatorship https://t.co/PomA42n9aP https://t.co/5bJgjHhBS4
19789347,2017-11-16 05:07:08,[],0,0,Mitch Chase,2379,849,"Los Angeles, CA",13021,None,None,How Trump walked into Putin’s web https://t.co/Dn6dBGIdVK
328850362,2017-11-16 05:06:56,[],0,0,John J Nazarian,190,811,"Beverly Hills, Ca",46505,None,None,@ABC America loves Trump!
271706439,2017-11-16 05:06:46,[],0,0,Natalia,405,229,Los Angeles,8420,None,None,"@soledadobrien @PapaJohns @PapaJohns you paid a high price for not getting that when the players kneel to protest,… https://t.co/8tpuzMXkLx"
38232159,2017-11-16 05:06:26,[],3,5,themocollins,995,9883,Los Angeles,12016,None,None,A complete atrocity. No reason for this other than a hateful trump admin. I completely stand against this. trump is… https://t.co/T3WQlXJuCO
66283629,2017-11-16 05:05:58,[],0,0,Christophe,309,320,Los Angeles,10496,None,None,@eyemsimone @JoeMon49 @zachhaller @SenSanders You’re blaming Trump for Congress’s obstruction by the same cronies “… https://t.co/vFnaFZgxTz
254860602,2017-11-16 05:05:00,[],0,0,Tracy Leshay,117,54,LA,376,None,None,‘Cause it’s such a drag when your kids r stuck at customs and only allowed to enter US w/their trophy wives .😓🐘😓 https://t.co/p8lL1hzz5k
315577705,2017-11-16 05:04:41,[],4,8,Paul Lander,40360,41807,Tarzana CA.,67098,None,None,"Christopher Steele believes his dossier on Trump-Russia is 70-90% accurate
And, reads like a real pisser"
232066157,2017-11-16 05:04:33,[],0,0,Timothy H LaForge,279,50,Los Angeles,2822,None,None,"Gross getting grosser.
We're in the midst of America's global downgrade.
This isn't the biggest part of that proces… https://t.co/sM69ddRt2p"
16784724,2017-11-16 05:04:30,[],0,0,thebishopgame,244,472,"Los Angeles, CA",9734,None,None,"Ok, this is cartoonishly evil. https://t.co/l6L2hQeWsm"
3479325072,2017-11-16 05:04:23,[],0,2,Angela Griffith,5002,3567,"Los Angeles, CA",1364,None,None,It's actually hard to believe how naive (or dumb) the failing Donald Trump is..... https://t.co/WlCFVp21ZK
609484227,2017-11-16 05:04:20,"[u'FightOn', u'USC']",0,0,Fight On Trojans!,1148,1986,"Los Angeles, CA",31389,None,None,#FightOn #USC https://t.co/dTcXuYVOvq Silence from Trump as Moore-Alabama storm grows louder
208694606,2017-11-16 05:04:11,[],0,0,Miguel A Nunez Jr,12335,34323,"Studio City, Los Angeles",3812,None,None,@ACooperCMUNCE Trump is silent because he knows the floodgates will open on his accusers. He's has already admitted… https://t.co/oE0r4q8TZ4
756713107142172673,2017-11-16 05:04:00,[],0,0,Joaquin Jeung,361,332,"Los Angeles, CA",10994,None,None,@historyinmoment TRUMP'S WALL FUTURE(LESS)...
91250058,2017-11-16 05:03:44,[],0,0,TK?,641,281,"Playa del Rey, Los Angeles",8756,None,None,@ABtothaCC Coming from the girl who said Trump is my uncle. Do you hate me?
858407531722547201,2017-11-16 05:03:11,"[u'ANALYSIS', u'China', u'Xi']",0,0,Breaking News,6175,53144,"Los Angeles, CA",50870,"Place(_api=<tweepy.api.API object at 0x06E174D0>, full_name=u'Los Angeles, CA', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x06E174D0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], country_code=u'US', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,"#ANALYSIS: Despite the pomp and circumstance, Pres. @Trump left #China with no real concessions from #Xi over trade… https://t.co/B5kSqs7Ptm"
134205718,2017-11-16 05:03:09,[],0,0,C. J. Lee,668,241,Los Angeles,14675,None,None,Poll Shows Voters Think Tax Reform Would Benefit Trump https://t.co/aZV7RipXde
22716731,2017-11-16 05:03:03,[],0,0,Gerry Moylan,1860,1178,Los Angeles,19079,None,None,Because @realdonaldtrump is a fucking asshole. https://t.co/ENvLbFFiMt
3362762894,2017-11-16 05:03:01,[],0,0,oNe HuNDrEd %,52,8,"Torrance, CA",1877,None,None,"@realDonaldTrump DOES DONALD TRUMP SPEAK
AGAINST
CHILD MOLESTERS THO??
🍿"
357855989,2017-11-16 05:02:15,[],1,0,Daily Breeze,524,39308,"Torrance, CA",46512,None,None,Silence from Trump as Moore-Alabama storm grows louder https://t.co/6wvut3YWNP https://t.co/lpVq0DweV7
299819811,2017-11-16 05:02:11,[],0,0,Sidney Iwanter,542,76,Los Angeles,12947,None,None,The Trump Admin is like a never ending tsunami of shit that just keeps on coming. https://t.co/nELDRhZBJA
19000573,2017-11-16 05:02:09,[],0,1,Alex Muniz,310,658,Los Angeles,82532,None,None,"@rohitguptahpf @CarlPaulus @xenocryptsite I'm 70% seeing this, but 30% thinking there will be some discrediting of… https://t.co/VRriiArJb1"
744896742693363713,2017-11-16 05:01:45,[],0,0,Allan Dewey,117,10,"Los Angeles, CA",262,None,None,@FoxNewsInsider @JonathanTurley @EspaillatNY @RepCohen @RepMarciaFudge Trump better hope the Republicans can hold b… https://t.co/LtFGH8GmsB
2466899838,2017-11-16 05:00:21,[],1,1,Blavity,30646,210904,"Los Angeles, CA",59546,None,None,"Three UCLA basketball players jailed in China for shoplifting return home, apologize and thank Trump for the assist… https://t.co/Vm0Wve4nQF"
19000573,2017-11-16 05:00:08,[],0,2,Alex Muniz,310,658,Los Angeles,82532,None,None,@rohitguptahpf Trump approval sucks now!
266296056,2017-11-16 04:59:24,[u'trump'],0,0,DR,1837,392,Los Angeles,9625,None,None,"@Bobblespeak He's holding $50 bucks. That's it. Yet it's a greedy metaphor for the entire #trump administration. A 
pox on all their houses."
238253819,2017-11-16 04:59:13,[],4,24,John Levenstein,1009,20612,Sherman Oaks,40765,None,None,"Sure, the way Trump drank water was odd. But the terrifying part was when he thought there wasn't any water and almost murdered us all."
789968400403398657,2017-11-16 04:59:11,[],0,0,Turntablist Mr.Gomez,85,14,"Los Angeles, CA",1273,None,None,"@TheJuanWilliams Jaun your an idiotic pinhead for saying you give a ""D"" to President Trump for his Asia trip. If it… https://t.co/kIF7h82i9m"
891001593717325824,2017-11-16 04:59:03,[],0,0,Paolo Protti,63,23,"Los Angeles, CA",111,None,None,"My twitter consists of three things: tweets only Ashley finds funny, angry at a specific person tweets, and trying… https://t.co/crHzfg27cc"
829103655076904960,2017-11-16 04:58:22,[],0,0,Real Times,732,576,"Beverly Hills, CA",10087,None,None,"@OverclocktRobot @ModerationInXS @arappeport @lrozen Here's a fine Gop candidate{when tRump pardons him}: 
https://t.co/g0a0E094Dg"
815364772317184000,2017-11-16 04:58:12,[],2,3,Carl Hasting,765,598,"Los Angeles, CA",7801,None,None,Trump's attorneys are begging him not to touch this Roy Moore situation. His own lurid past is fair game once he do… https://t.co/4moiimMF0m
778779437315698688,2017-11-16 04:58:11,[u'BuildTheWall'],2,2,Baseless22,862,642,"Los Angeles, CA",24441,None,None,@realDonaldTrump #BuildTheWall!!! We are waiting President Trump
783696879347310592,2017-11-16 04:57:48,"[u'ClipTrends', u'VideoTrends', u'Apple_News', u'Charles_Payne', u'Fox_Business']",0,0,ClipTrends,7,5752,"Los Angeles, CA",63690,None,None,UCLA players thank Trump after release ... - #ClipTrends #VideoTrends # #Apple_News #Charles_Payne #Fox_Business… https://t.co/MkQCh5FEDC
4858968249,2017-11-16 04:57:47,[],0,0,Kevin Crowell,552,169,"Los Angeles, CA",4587,None,None,@joey_desmarais @StephenAtHome @realDonaldTrump Yea Trump definitely isn’t a predator lol but I know the Dems want… https://t.co/AZaD7wZ1Wy
55463505,2017-11-16 04:57:40,[],0,1,Jason Smith,366,22640,"Los Angeles, CA",42315,None,None,"Pretty sure the TMZ guy asked LaVar Ball if he was ""going to go see Trump at the White House in New York City."" Oh… https://t.co/z5gDTXY4EB"
49240918,2017-11-16 04:57:26,[],0,0,Dumb Luck Nick,638,1300,"Los Angeles, CA",11213,None,None,@Drawn2Write @FoxNews @LindseyGrahamSC You keep living in the past porkchop. I'll be living in the present where De… https://t.co/hbdvTaGB6T
451819288,2017-11-16 04:56:46,[],0,0,alex petosa,429,271,"Los Angeles, CA",1939,None,None,"Andddd this is what our tax dollars are going to. Trump propaganda sizzle reels. 3 more years, people. https://t.co/rjiARkEX16"
457121458,2017-11-16 04:56:42,[],0,2,Blk Priest,609,1852,Los Angeles,24087,None,None,No one can convince me that Melania's pussy ever got wet for Trump.
517217327,2017-11-16 04:56:25,[],0,0,Adoption Revolution,4,22,Los Angeles ,9402,None,None,"tump just rolled back the Obama administration's  laws to outlaw ivory trade...

If you voted for him and you... https://t.co/AVAxfP7l3s"
856224401452171264,2017-11-16 04:56:18,[],0,0,rosie gee,176,10,"Burbank, CA",1605,None,None,@RobertL45214333 @realDonaldTrump He and jared sd REPUBLUCANS ARE STUPID AND THEY LAUGHED.. Repubs r his puppets &amp;… https://t.co/R8UTycnfvl
3911239745,2017-11-16 04:56:02,[],4,12,Perez,685,103196,"Los Angeles, CA",72040,"Place(_api=<tweepy.api.API object at 0x06E174D0>, full_name=u'Los Angeles, CA', url=u'https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x06E174D0>, type=u'Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), contained_within=[], country_code=u'US', attributes={}, id=u'3b77caf94bfc81fe', name=u'Los Angeles')",None,Sensational marketing!! https://t.co/HJPLPITSNa
40250791,2017-11-16 04:55:54,[],0,0,Bro.William Robinson,148,86,"Los Angeles, Ca.",4252,None,None,TRUMP ranted a list of fantasy achievements like an ESCAPED MAD MAN from Alice in Wonderland. TRUMP is a FAKE presi… https://t.co/zw1mSFFxo4
2766925880,2017-11-16 04:55:20,[],0,0,GetPaulHoward,805,405,"Los Angeles, CA",5177,None,None,Anderson's face says it all.... WTF is happening with Trump?: https://t.co/2G8ZMkTyum via @YouTube
111639507,2017-11-16 04:55:03,[u'NeedtoImpeach'],0,0,Penny Framstad,31,50,"Los Angeles, CA",38,None,None,We #NeedtoImpeach @RealDonaldTrump. Join me and sign on to @TomSteyer’s petition demanding Congress impeach Trump. https://t.co/fT6ADrjerL
16024174,2017-11-16 04:54:57,[],0,0,David Goldstein,548,953,"Los Angeles, CA",2156,None,None,“Mistakes were made at the Mansion murders on both sides” - Trump’s inevitable quote
756713107142172673,2017-11-16 04:54:49,[],1,3,Joaquin Jeung,361,332,"Los Angeles, CA",10994,None,None,"@washingtonpost TROPHY HUNTERS CAN NEVER KILL ENOUGH ANIMALS TO COMPENSATE FOR THEIR ""ERECTILE"" SHORT COMINGS. DONA… https://t.co/ogj5UdJVJT"
3098382247,2017-11-16 04:54:46,[],0,0,MCR,94,118,,5548,"Place(_api=<tweepy.api.API object at 0x06E174D0>, full_name=u'West Hollywood, CA', url=u'https://api.twitter.com/1.1/geo/id/1927193c57f35d51.json', country=u'United States', place_type=u'city', bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x06E174D0>, type=u'Polygon', coordinates=[[[-118.3959042, 34.075963], [-118.3433861, 34.075963], [-118.3433861, 34.098056], [-118.3959042, 34.098056]]]), contained_within=[], country_code=u'US', attributes={}, id=u'1927193c57f35d51', name=u'West Hollywood')",None,Editorial Cartoons on Donald Trump | Cartoons | US News https://t.co/mGnNOxBCUn
499605929,2017-11-16 04:54:42,[],0,0,Villa Azarmehr,4854,4281,"Los Angeles, CA",33620,None,None,"⚡️ “Ivanka Trump says there's 'no reason to doubt' Roy Moore's victims”

https://t.co/KtKtPqWI6Y"
43497473,2017-11-16 04:54:23,[],1,2,Jennifer Hall Lee,3560,3783,"Los Angeles, CA",26088,None,None,Impeachment needs to happen. Trump is unfit for Potus. He is damaging our country. @RepJudyChu @AdamSchiffCA  https://t.co/RuYXXZS4Dk
15012582,2017-11-16 04:54:11,[],0,0,timorourke,948,398,"Los Angeles, CA",7171,None,None,Trump is quiet on Roy Moore out of Professional courtesy
36228641,2017-11-16 04:54:06,[],0,0,Devi Bea,430,3458,Los Angeles,1559,None,None,@StephenAtHome When I think about you . . . I touch my elf.  Trump https://t.co/Qmt4SltgsH
24746866,2017-11-16 04:54:01,[u'BackInBlack'],0,0,Old Lady Brand,2344,383,"Manhattan Beach, CA",6315,None,None,"""The only serving Trump has ever done is divorce papers"" great line #BackInBlack @TheLewisBlack @TheDailyShow"
50289387,2017-11-16 04:53:58,[],0,0,bunnie jatkowski,2101,1167,Los Angeles,32341,None,None,Is this the point where we say there is no floor that is below the of decency of this Trump's Republican America Ca… https://t.co/8d7TyHb6vi
393601278,2017-11-16 04:53:49,[],0,0,R. Charles Wilkerson,800,244,"Burbank, CA",5080,None,None,@davidfrum Happy Wednesday under the Trump administration
271706439,2017-11-16 04:52:53,[],0,0,Natalia,405,229,Los Angeles,8420,None,None,@Tottspur69 @KevinMKruse The real Trump villains are scarier than the fiction ones.
