user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
48087830,2017-11-15 23:12:03,[],0,0,David Lloyd Glover,83,126,Los Angeles,58621,None,None,Now Playing on the radio  Peter Nero My Funny Valentine https://t.co/c5ITJyGXXQ
2455853707,2017-11-15 22:43:51,[],1,1,Sangria92,769,557,"Hermosa Beach, CA",21737,None,None,@IcedTea17 He does pompous perfectly.......oh &amp; Valentine! Ross finally saw him......I’m on S3 ep 5.
1695164726,2017-11-15 20:34:30,[],0,0,Lamonte Goode,339,824,Los Angeles,4393,None,None,"I added a video to a @YouTube playlist https://t.co/5BKqCjI8Kj Dr. Phil Valentine: Trump, Flat Earth, Trans-Humanism, and Health (Part"
1695164726,2017-11-15 20:34:26,[],0,0,Lamonte Goode,339,824,Los Angeles,4393,None,None,"I liked a @YouTube video https://t.co/5BKqCjI8Kj Dr. Phil Valentine: Trump, Flat Earth, Trans-Humanism, and Health (Part 1)"
41290997,2017-11-15 20:16:51,[],1,2,Drew Dietsch,777,690,"Los Angeles, CA",10137,None,None,"NIGHT OF THE LIVING DEAD and THE SILENCE OF THE LAMBS are coming to @Criterion on Blu-ray in February.

I couldn't… https://t.co/YQwcVK6qHN"
290676307,2017-11-15 18:56:02,[],0,0,ruby dugger,2334,448,Los Angeles,12589,None,None,Brooke Valentine   Long As You Come Home https://t.co/6CDl2jXJG0 via @YouTube @punkin1725 @4everBrooke  .iwasalreadyoverhillsforyou
290676307,2017-11-15 18:37:06,[],0,0,ruby dugger,2334,448,Los Angeles,12589,None,None,Brooke Valentine - Nothing to Something ft. Marcus Black (Audio) https://t.co/OfsLciK6Yn via @YouTube @punkin1725 @4everBrooke
290676307,2017-11-15 18:31:14,[],0,1,ruby dugger,2334,448,Los Angeles,12589,None,None,Booby Gibson X Brooke Valentine   Nobody Knows Official Music Video Gh4 ... https://t.co/7nUkmFLaZF via @YouTube @punkin1725
16548430,2017-11-15 18:20:35,[],0,1,Austyn B.,727,1034,"Los Angeles, CA",2395,None,None,So excited to see Desi Valentine tonight at the Wiltern. https://t.co/Adb2Xvdq1E
62910071,2017-11-15 18:17:22,"[u'myreaction', u'red', u'valentine', u'mysingle', u'happy', u'red', u'poppy']",0,1,Gigi Cesare,4142,26181,LA,14582,None,None,#myreaction When someone says they like my hair 😂 #red #valentine #mysingle #happy #red #poppy… https://t.co/ZsCP87Bs0x
22671321,2017-11-15 17:30:31,[],3,5,1043 MYfm,1240,21417,"Los Angeles, CA",38265,None,None,What a cool surprise for Star Wars fans at Disneyland! https://t.co/Qj7GQuPqDM
2956042656,2017-11-15 16:45:28,[],0,0,piipe,137,144,"Beverly Hills, CA",2537,None,None,정엽 (JUNG YUP) - My Valentine MV คุ้นๆว่ามันคล้ายเพลงไทยซักเพลง ฟังจนเป็นชมละ กูยังนึกไม่ออก ใครนึกออกก็บอกกูทีชาวโลก https://t.co/VKSmIjLPoZ
22671321,2017-11-15 16:30:21,[],1,1,1043 MYfm,1240,21417,"Los Angeles, CA",38265,None,None,Will Smith is looking for other Will Smiths! https://t.co/7Q0tD0FvuY
43368743,2017-11-15 16:00:04,[],0,0,Mark  E Cotter,456,697,Los Angeles,14797,None,None,What’s more thoughtful of a gift than jewelry this Valentine’s Day? https://t.co/n3CYd5M8Fb https://t.co/Q3hVzssyzZ
2467703329,2017-11-15 15:48:59,[],0,1,Saya Song,602,50370,"Los Angeles, CA",8599,None,None,@jenna_valentine I’ll go as soon as I crawl out of bed 😂
2467703329,2017-11-15 15:46:58,[],0,2,Saya Song,602,50370,"Los Angeles, CA",8599,None,None,@jenna_valentine I was just about to search for sweatpants to buy on Amazon.
329713460,2017-11-15 15:45:36,[],0,0,VictoriaMorales,141,49,"Burbank, CA",392,None,None,"@kevinandbean @Friends_Helpers Looking forward to doing my part at the Galpin Ford event. You're doing good work, @thekevinryder"
71151452,2017-11-15 15:42:21,[],0,0,Bill Moseley,900,39592,"Los Angeles, CA",38845,None,None,@jenna_valentine No sweat
